symbol,date,open,high,low,close,volume
AAPL,2025-01-22,219.7900,224.1200,219.7900,223.8300,64126500
AAPL,2025-01-21,224.0000,224.4200,219.3800,222.6400,98070429
MSFT,2025-01-22,437.5600,447.2700,436.0000,446.2000,27803811
MSFT,2025-01-21,430.2000,430.8999,425.5950,428.5000,26085703
GOOGL,2025-01-22,199.0600,200.4800,197.5300,198.3700,26200617
GOOGL,2025-01-21,199.0700,202.2900,197.8700,198.0500,29971292
AMZN,2025-01-22,232.0200,235.4400,231.1900,235.0100,41448217
AMZN,2025-01-21,228.9000,231.7800,226.9400,230.7100,39951456
META,2025-01-22,623.3000,633.7000,619.4350,623.5000,12274011
META,2025-01-21,617.8250,621.5000,609.0082,616.4600,11674016
